"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Create buffer - Negative: Buffer already exists","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldThrowExceptionWhenBufferAlreadyExists"
"","3","Delete buffers by connection scheme - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldDeleteBuffersByConnectionSchemeWhenValidRequest"
"","3","Create buffer - Negative: Connection scheme doesn't belong to client","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldThrowExceptionWhenConnectionSchemeNotBelongsToClient"
"","450","Create buffer - Negative: Token validation fails","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldThrowExceptionWhenTokenValidationFails"
"","3","Get buffers by client - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldGetBuffersByClientWhenValidRequest"
"","1467","Delete buffer - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldDeleteBufferWhenValidRequest"
"","18","Health check - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldReturnHealthStatus"
"","13","Get buffers by connection scheme - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldGetBuffersByConnectionSchemeWhenValidRequest"
"","3","Get buffer - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldGetBufferWhenValidRequest"
"","12","Create buffer - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldCreateBufferWhenValidData"
"","3","Update buffer - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldUpdateBufferWhenValidData"
"","3","Buffer exists - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldReturnTrueWhenBufferExists"
