"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Health check - Negative: Auth service down","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldHandleAuthServiceDownInHealthCheck"
"","2","Scheme exists - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldReturnTrueWhenSchemeExists"
"","4","Create scheme - Negative: Scheme already exists","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenSchemeAlreadyExists"
"","3","Update scheme - Negative: UID change attempt","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenTryingToChangeUid"
"","1769","Create scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldCreateSchemeWhenValidData"
"","2","Get scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldGetSchemeWhenValidRequest"
"","3","Create scheme - Negative: Client UID mismatch","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenClientUidMismatch"
"","3","Get scheme - Negative: Scheme doesn't belong to client","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenSchemeNotBelongsToClient"
"","36","Create scheme - Negative: Token validation fails","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenTokenValidationFails"
"","16","Get schemes by client - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldGetSchemesByClientWhenValidRequest"
"","3","Delete scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldDeleteSchemeWhenValidRequest"
"","3","Update scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldUpdateSchemeWhenValidData"
"","19","Health check - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldReturnHealthStatus"
"","3","Scheme exists - Negative: Scheme not found","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldReturnFalseWhenSchemeNotExists"
