"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2186","Scheme exists - Positive","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldReturnTrueWhenSchemeExists"
"","13","Should create connection scheme with empty transitions","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldCreateConnectionSchemeWithEmptyTransitions"
"","22","Should handle connection scheme not found","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldHandleConnectionSchemeNotFound"
"","25","Should get connection schemes by buffer","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldGetConnectionSchemesByBuffer"
"","2186","Scheme exists - Negative: Scheme not found","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldReturnFalseWhenSchemeNotExists"
"","25","Should throw SecurityException when accessing other client's scheme","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldThrowSecurityExceptionWhenAccessingOtherClientScheme"
"","26","Should check connection scheme existence","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldCheckConnectionSchemeExistence"
"","2186","Update scheme - Negative: UID change attempt","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldThrowExceptionWhenTryingToChangeUid"
"","20","Should throw SecurityException when not authenticated","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldThrowSecurityExceptionWhenNotAuthenticated"
"","15","Should get connection scheme by UID","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldGetConnectionSchemeByUid"
"","2185","Update scheme - Positive","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldUpdateSchemeWhenValidData"
"","20","Should update connection scheme successfully","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldUpdateConnectionSchemeSuccessfully"
"","2186","Update scheme - Negative: Client UID change attempt","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldThrowExceptionWhenTryingToChangeClientUid"
"","39","Should connect to database","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldConnectToDatabase"
"","2185","Get schemes by client - Positive","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldGetSchemesByClientWhenValidRequest"
"","23","Should get connection schemes by client","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Integration Tests","com.service.connectionscheme.integration.ConnectionSchemeServiceIntegrationTest","shouldGetConnectionSchemesByClient"
"","2187","Create scheme - Positive","","2025-10-30","passed","2025-10-30","","Connection Scheme Service Implementation Tests - Kafka Version","com.service.connectionscheme.ApiConnectionSchemeServiceImplTest","shouldCreateSchemeWhenValidData"
