"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2302","Create device - Negative: Device already exists","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldThrowExceptionWhenDeviceAlreadyExists"
"","2680","Handle response - completes exceptionally for type mismatch","","2025-10-25","passed","2025-10-25","","Typed Auth Kafka Client Tests","com.connection.device.TypedAuthKafkaClientTest","shouldCompleteExceptionallyForTypeMismatch"
"","2301","Get device - Negative: Device doesn't belong to client","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldThrowExceptionWhenDeviceNotBelongsToClient"
"","5100","Should get health status","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldGetHealthStatus"
"","2301","Health check - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldReturnHealthStatus"
"","2673","Handle response - completes future for matching correlation ID","","2025-10-25","passed","2025-10-25","","Typed Auth Kafka Client Tests","com.connection.device.TypedAuthKafkaClientTest","shouldCompleteFutureWhenResponseReceived"
"","5","Device exists - Negative: Device not found","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldReturnFalseWhenDeviceNotExists"
"","2300","Health check - Negative: Auth service timeout","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldHandleAuthServiceTimeoutInHealthCheck"
"","23","Get devices by client - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldGetDevicesByClientWhenValidRequest"
"","20","Should throw SecurityException when device doesn't belong to client","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldThrowSecurityExceptionWhenDeviceNotBelongsToClient"
"","23","Should check device existence","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldCheckDeviceExistence"
"","21","Should connect to database","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldConnectToDatabase"
"","1426","Should update device successfully","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldUpdateDeviceSuccessfully"
"","14","Should create device successfully","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldCreateDeviceSuccessfully"
"","9","Should throw SecurityException when not authenticated","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldThrowSecurityExceptionWhenNotAuthenticated"
"","2252","Handle response - ignores unknown correlation ID","","2025-10-25","passed","2025-10-25","","Typed Auth Kafka Client Tests","com.connection.device.TypedAuthKafkaClientTest","shouldIgnoreResponseForUnknownCorrelationId"
"","23","Should delete device successfully","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldDeleteDeviceSuccessfully"
"","2677","Send request - handles Kafka send failure","","2025-10-25","passed","2025-10-25","","Typed Auth Kafka Client Tests","com.connection.device.TypedAuthKafkaClientTest","shouldHandleKafkaSendFailure"
"","2222","Health check - Negative: Auth service error","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldHandleAuthServiceErrorInHealthCheck"
"","32","Should get devices by client","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldGetDevicesByClient"
"","2301","Device exists - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldReturnTrueWhenDeviceExists"
"","2301","Update device - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldUpdateDeviceWhenValidData"
"","15","Should get device by UID","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldGetDeviceByUid"
"","2302","Get device - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldGetDeviceWhenValidRequest"
"","2300","Create device - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldCreateDeviceWhenValidData"
"","6","Create device - Negative: Client UID mismatch","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldThrowExceptionWhenClientUidMismatch"
"","7","Delete device - Positive","","2025-10-25","passed","2025-10-25","","Device Service Implementation Tests - Kafka Version","com.connection.device.DeviceServiceImplTest","shouldDeleteDeviceWhenValidRequest"
"","11","Should handle device not found","","2025-10-25","passed","2025-10-25","","Device Service Integration Tests","com.connection.device.integration.DeviceServiceIntegrationTest","shouldHandleDeviceNotFound"
