"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1537","testHealth_Success()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testHealth_Success"
"","42","Should throw SecurityException when client accesses wrong device messages","","2025-10-25","passed","2025-10-25","","Message Service Integration Tests","com.connection.message.integration.MessageServiceIntegrationTest","shouldThrowSecurityExceptionWhenClientAccessesWrongDeviceMessages"
"","1305","Should throw SecurityException when device accesses other device messages","","2025-10-25","passed","2025-10-25","","Message Service Integration Tests","com.connection.message.integration.MessageServiceIntegrationTest","shouldThrowSecurityExceptionWhenDeviceAccessesOtherDeviceMessages"
"","1514","testGetMessagesByScheme_WithClientAuthentication()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByScheme_WithClientAuthentication"
"","1513","testAddMessage_NoAuthentication_ThrowsSecurityException()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testAddMessage_NoAuthentication_ThrowsSecurityException"
"","1513","testGetMessagesByDevice_WithClientAuthentication()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByDevice_WithClientAuthentication"
"","1513","testGetMessagesByDevice_WithDeviceAuthentication()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByDevice_WithDeviceAuthentication"
"","1513","testGetMessagesByDevice_NoAccess_ThrowsSecurityException()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByDevice_NoAccess_ThrowsSecurityException"
"","1513","testGetMessagesByBuffer_Success()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByBuffer_Success"
"","1708","Should get health status","","2025-10-25","passed","2025-10-25","","Message Service Integration Tests","com.connection.message.integration.MessageServiceIntegrationTest","shouldGetHealthStatus"
"","1513","testAddMessage_WithClientAuthentication_Success()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testAddMessage_WithClientAuthentication_Success"
"","38","Should connect to database","","2025-10-25","passed","2025-10-25","","Message Service Integration Tests","com.connection.message.integration.MessageServiceIntegrationTest","shouldConnectToDatabase"
"","23","Should throw SecurityException when adding message without authentication","","2025-10-25","passed","2025-10-25","","Message Service Integration Tests","com.connection.message.integration.MessageServiceIntegrationTest","shouldThrowSecurityExceptionWhenAddingMessageWithoutAuthentication"
"","1513","testGetMessagesByBuffer_WithDeleteOnGet()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testGetMessagesByBuffer_WithDeleteOnGet"
"","1514","testAddMessage_WithDeviceAuthentication_Success()","","2025-10-25","passed","2025-10-25","","com.connection.message.integration.MessageServiceImplTest","com.connection.message.integration.MessageServiceImplTest","testAddMessage_WithDeviceAuthentication_Success"
