"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Validate BufferJsonDataBLM with null fields - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataBLMWithNullFields_Negative"
"","1","Validate BufferJsonDataDTO with array JSON - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDTOWithArrayJson_Negative"
"","0","Exception inheritance hierarchy","","2025-09-19","passed","2025-09-19","","Buffer Json Data Exception Tests","com.connection.processing.buffer.objects.json.exception.BufferJsonDataExceptionTest","testExceptionInheritance"
"","1","Validate BufferDTO with negative max size - Negative","","2025-09-19","passed","2025-09-19","","Buffer Validator Tests","com.connection.processing.buffer.validator.BufferValidatorTest","testValidateBufferDTOWithNegativeMaxSize_Negative"
"","1","Validate BufferDeviceDTO with invalid device UID - Negative","","2025-09-19","passed","2025-09-19","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateBufferDeviceDTOWithInvalidDeviceUid_Negative"
"","1","Find newest data by buffer UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindNewestByBufferUid_Positive"
"","1","Round-trip conversion DTO -> BLM -> DTO","","2025-09-19","passed","2025-09-19","","BufferDevice Converter Tests","com.connection.processing.buffer.bufferdevice.converter.BufferDeviceConverterTest","testRoundTripDTOToBLMToDTO"
"","2","Convert DALM to BLM - Positive","","2025-09-19","passed","2025-09-19","","BufferDevice Converter Tests","com.connection.processing.buffer.bufferdevice.converter.BufferDeviceConverterTest","testToBLMFromDALM_Positive"
"","1","Validate BufferDeviceBLM with null fields - Negative","","2025-09-19","passed","2025-09-19","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateBufferDeviceBLMWithNullFields_Negative"
"","2","Validate null BufferDeviceDTO - Negative","","2025-09-19","passed","2025-09-19","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateNullBufferDeviceDTO_Negative"
"","1","Add existing buffer - Negative","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testAddExistingBuffer_Negative"
