"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Find non-existent scheme by UID - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testFindByUid_Negative"
"","2","Convert DALM to BLM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToBLMFromDALM_Positive"
"","2","Update non-existent scheme - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testUpdateNonExistentScheme_Negative"
"","21","Find schemes by client UID - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testFindByClientUid_Positive"
"","2","Find scheme by UID - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testFindByUid_Positive"
"","2","Check scheme exists - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testExists_Negative"
"","1","Validate valid ConnectionSchemeDALM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDALM_Positive"
"","1","Validate ConnectionSchemeDTO with whitespace JSON - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithWhitespaceJson_Negative"
"","1","ConnectionSchemeAlreadyExistsException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeAlreadyExistsExceptionToString"
"","1","Validate valid ConnectionSchemeBLM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBLM_Positive"
"","2","BaseConnectionSchemeException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testBaseConnectionSchemeExceptionToString"
"","0","Validate null ConnectionSchemeBLM - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateNullConnectionSchemeBLM_Negative"
"","1","ConnectionSchemeNotFoundException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeNotFoundExceptionToString"
"","1","Validate ConnectionSchemeDTO with invalid JSON - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithInvalidJson_Negative"
"","1","Validate ConnectionSchemeDTO with null client UID - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithNullClientUid_Negative"
"","1","Convert BLM to DTO - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToDTOFromBLM_Positive"
"","2","Delete scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testDeleteScheme_Positive"
"","0","Validate ConnectionSchemeDTO with null UID - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithNullUid_Negative"
"","1","Validate ConnectionSchemeBLM with null fields - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBLMWithNullFields_Negative"
"","0","Round-trip conversion DTO -> BLM -> DTO","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testRoundTripDTOToBLMToDTO"
"","370","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToDALMFromBLM_Positive"
"","3","Delete non-existent scheme - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testDeleteNonExistentScheme_Negative"
"","1","ConnectionSchemeValidateException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeValidateExceptionToString"
"","1","Check scheme exists - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testExists_Positive"
"","1","Validate ConnectionSchemeDTO with empty JSON - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithEmptyJson_Negative"
"","0","Validate valid ConnectionSchemeDTO - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTO_Positive"
"","2","Convert DTO to BLM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToBLMFromDTO_Positive"
"","2","Update scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testUpdateScheme_Positive"
"","9","Add scheme - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testAddScheme_Positive"
"","1","Validate null ConnectionSchemeDTO - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateNullConnectionSchemeDTO_Negative"
"","1663","Add existing scheme - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testAddExistingScheme_Negative"
"","1","Validate ConnectionSchemeDTO with invalid UID - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithInvalidUid_Negative"
"","1","Round-trip conversion DALM -> BLM -> DALM","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testRoundTripDALMToBLMToDALM"
"","3","Exception inheritance hierarchy","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testExceptionInheritance"
