"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Round-trip conversion Dalm -> Blm -> Dalm","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testRoundTripDalmToBlmToDalm"
"","1","Validate valid ConnectionSchemeDalm - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDalm_Positive"
"","1","Validate ConnectionSchemeBlm with null fields - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBlmWithNullFields_Negative"
"","4","Convert Dto to Blm - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToBlmFromDto_Positive"
"","1","Validate ConnectionSchemeDto with invalid JSON - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDtoWithInvalidJson_Negative"
"","1","Validate null ConnectionSchemeDto - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateNullConnectionSchemeDto_Negative"
"","1139","Validate ConnectionSchemeBlm with null bufferTransitions - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBlmWithNullBufferTransitions_Negative"
"","2","Check scheme exists - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Tests - Sql implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySqlImplTest","testExists_Negative"
"","1","ConnectionSchemeNotFoundException toString format","","2025-11-21","passed","2025-11-21","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeNotFoundExceptionToString"
"","4","Update scheme - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Tests - Sql implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySqlImplTest","testUpdateScheme_Positive"
"","2","Find schemes by client UID with empty result - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Tests - Sql implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySqlImplTest","testFindByClientUid_EmptyResult"
"","2","Validate ConnectionSchemeBlm with null usedBuffers - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBlmWithNullUsedBuffers_Negative"
"","1177","Convert Blm to Dalm - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToDalmFromBlm_Positive"
"","2","Validate ConnectionSchemeDto with invalid UID - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDtoWithInvalidUid_Negative"
"","4","Find scheme by UID - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Tests - Sql implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySqlImplTest","testFindByUid_Positive"
"","1","Validate ConnectionSchemeDto with null client UID - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDtoWithNullClientUid_Negative"
"","1","Validate null ConnectionSchemeBlm - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateNullConnectionSchemeBlm_Negative"
"","3","Convert Blm to Dto - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToDtoFromBlm_Positive"
"","2","Convert with null used buffers","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testConvertWithNullUsedBuffers"
"","1","Validate valid ConnectionSchemeDto - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDto_Positive"
"","21","Convert Dalm to Blm - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToBlmFromDalm_Positive"
"","126","Should find connection schemes by buffer UID","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Sql Implementation Tests","com.connection.scheme.integration.ConnectionSchemeRepositorySqlImplIntegrationTest","shouldFindConnectionSchemesByBufferUid"
"","1","Validate ConnectionSchemeDto with empty transitions - Negative","","2025-11-21","passed","2025-11-21","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDtoWithEmptyTransitions_Negative"
"","36","Should throw exception when connection scheme not found by UID","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Sql Implementation Tests","com.connection.scheme.integration.ConnectionSchemeRepositorySqlImplIntegrationTest","shouldThrowExceptionWhenConnectionSchemeNotFoundByUid"
"","123","Should check if connection scheme exists","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Sql Implementation Tests","com.connection.scheme.integration.ConnectionSchemeRepositorySqlImplIntegrationTest","shouldCheckIfConnectionSchemeExists"
"","3","Delete scheme - Positive","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Tests - Sql implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySqlImplTest","testDeleteScheme_Positive"
"","100","Should find connection scheme by UID","","2025-11-21","passed","2025-11-21","","Connection Scheme Repository Sql Implementation Tests","com.connection.scheme.integration.ConnectionSchemeRepositorySqlImplIntegrationTest","shouldFindConnectionSchemeByUid"
