"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Should throw exception when adding device with duplicate UID","","2025-10-31","broken","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldThrowExceptionWhenAddingDeviceWithDuplicateUid"
"","58","Should update device successfully","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldUpdateDeviceSuccessfully"
"","47","Should check if device exists","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldCheckIfDeviceExists"
"","19","Should return empty list when no devices found for client","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldReturnEmptyListWhenNoDevicesFoundForClient"
"","969","Should find devices by client UUID","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldFindDevicesByClientUuid"
"","54","Should delete device successfully","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldDeleteDeviceSuccessfully"
"","50","Should add device successfully","","2025-10-31","broken","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldAddDeviceSuccessfully"
"","64","Should check if device exists by client and name","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldCheckIfDeviceExistsByClientAndName"
"","22","Should throw exception when updating non-existent device","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldThrowExceptionWhenUpdatingNonExistentDevice"
"","28","Should throw exception when deleting non-existent device","","2025-10-31","passed","2025-10-31","","Device Repository SQL Implementation Integration Tests","com.connection.device.integration.DeviceRepositorySQLImplIntegrationTest","shouldThrowExceptionWhenDeletingNonExistentDevice"
