"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","RefreshTokenValidateException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.device.token.exception.TokenExceptionTest","testRefreshTokenValidateExceptionToString"
"","2","Parse invalid access token - Negative","","2025-09-20","passed","2025-09-20","","Access Token Generator Tests","com.connection.device.token.generator.AccessTokenGeneratorTest","testGetAccessTokenBLMWithInvalidToken_Negative"
"","1","Validate null RefreshTokenDALM - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.device.token.validator.RefreshTokenValidatorTest","testValidateNullRefreshTokenDALM_Negative"
"","3","Cleanup expired tokens - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testCleanupExpiredTokens_Positive"
"","0","Validate valid AccessTokenDALM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenDALM_Positive"
"","2","Generate token with different dates - Positive","","2025-09-20","passed","2025-09-20","","Access Token Generator Tests","com.connection.device.token.generator.AccessTokenGeneratorTest","testGenerateAccessTokenWithDifferentDates_Positive"
"","1","Validate AccessTokenDTO with empty token - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenDTOWithEmptyToken_Negative"
"","1","Check token exists - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testTokenExists_Positive"
"","88","Generate and parse round trip - Positive","","2025-09-20","passed","2025-09-20","","Access Token Generator Tests","com.connection.device.token.generator.AccessTokenGeneratorTest","testGenerateAndParseRoundTrip_Positive"
"","1","Validate AccessTokenDALM with expired token - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenDALMWithExpiredToken_Negative"
"","0","Validate null AccessTokenDALM - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateNullAccessTokenDALM_Negative"
"","2","Generate token and verify time precision - Milliseconds ignored","","2025-09-20","passed","2025-09-20","","Access Token Generator Tests","com.connection.device.token.generator.AccessTokenGeneratorTest","testGenerateAccessToken_MillisecondsIgnored"
"","2","Convert DTO to BLM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.device.token.converter.AccessTokenConverterTest","testToBLMFromDTO_Positive"
"","2","Revoke non-existent refresh token - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testRevokeNonExistentRefreshToken_Negative"
"","23","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Converter Tests","com.connection.device.token.converter.RefreshTokenConverterTest","testToDALMFromBLM_Positive"
"","1","BaseTokenException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.device.token.exception.TokenExceptionTest","testBaseTokenExceptionToString"
"","1","Validate RefreshTokenDALM with future created date - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.device.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenDALMWithFutureCreatedAt_Negative"
"","2","Check token exists - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.device.token.repository.RefreshTokenRepositorySQLImplTest","testTokenExists_Negative"
"","1","RefreshTokenAlreadyExistsException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.device.token.exception.TokenExceptionTest","testRefreshTokenAlreadyExistsExceptionToString"
"","1","RefreshTokenAddException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.device.token.exception.TokenExceptionTest","testRefreshTokenAddExceptionToString"
"","1","Validate RefreshTokenBLM with expired token - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.device.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenBLMWithExpiredToken_Negative"
"","1","Parse invalid refresh token - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Generator Tests","com.connection.device.token.generator.RefreshTokenGeneratorTest","testGetRefreshTokenWithInvalidToken_Negative"
"","0","Validate valid AccessTokenBLM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLM_Positive"
"","1","Validate null AccessTokenBLM - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.device.token.validator.AccessTokenValidatorTest","testValidateNullAccessTokenBLM_Negative"
