"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1880","Convert BLM to DALM - Positive","","2025-10-25","passed","2025-10-25","","Device Token Converter Tests","com.connection.device.token.converter.DeviceTokenConverterTest","testToDALMFromBLM_Positive"
"","2","Parse valid device token - Positive","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGetDeviceTokenBLM_Positive"
"","423","Validate DeviceTokenBLM with expired token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenBLMWithExpiredToken_Negative"
"","2","Parse invalid device access token - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGetDeviceAccessTokenBLMWithInvalidToken_Negative"
"","3","Validate DeviceTokenDTO with empty token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenDTOWithEmptyToken_Negative"
"","1","Generate device token - Positive","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGenerateDeviceToken_Positive"
"","3","Generate token with future creation date - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGenerateDeviceAccessTokenWithFutureCreationDate_Positive"
"","4","Validate DeviceAccessTokenDTO with long token - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenDTOWithLongToken_Negative"
"","8","Parse device access token with wrong type - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGetDeviceAccessTokenBLMWithWrongType_Negative"
"","3","Generate and parse round trip - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGenerateAndParseRoundTrip_Positive"
"","423","Validate DeviceAccessTokenBLM with invalid dates - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenBLMWithInvalidDates_Negative"
"","3","Parse device access token with wrong subject - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGetDeviceAccessTokenBLMWithWrongSubject_Negative"
"","3","Find non-existent device access token by UID - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testFindByUid_Negative"
"","4","Add existing device token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Repository Tests","com.connection.device.token.repository.DeviceTokenRepositorySQLImplTest","testAddExistingDeviceToken_Negative"
"","2","Parse device token with wrong subject - Negative","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGetDeviceTokenBLMWithWrongSubject_Negative"
"","1277","Generate and parse round trip - Positive","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGenerateAndParseRoundTrip_Positive"
"","7","Add existing device access token - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testAddExistingDeviceAccessToken_Negative"
"","2162","Add device token - Positive","","2025-10-25","passed","2025-10-25","","Device Token Repository Tests","com.connection.device.token.repository.DeviceTokenRepositorySQLImplTest","testAddDeviceToken_Positive"
"","5","Find device access token by token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testFindByToken_Positive"
"","3","Revoke device access token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testRevoke_Positive"
"","2","Parse device token with wrong type - Negative","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGetDeviceTokenBLMWithWrongType_Negative"
"","3","Convert BLM to DTO - Positive","","2025-10-25","passed","2025-10-25","","Device Token Converter Tests","com.connection.device.token.converter.DeviceTokenConverterTest","testToDTOFromBLM_Positive"
"","2","Validate DeviceTokenBLM with long token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenBLMWithLongToken_Negative"
"","4","Revoke device token - Positive","","2025-10-25","passed","2025-10-25","","Device Token Repository Tests","com.connection.device.token.repository.DeviceTokenRepositorySQLImplTest","testRevoke_Positive"
"","2","Validate DeviceTokenBLM with future creation date - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenBLMWithFutureCreationDate_Negative"
"","1","Validate null DeviceTokenDTO - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateNullDeviceTokenDTO_Negative"
"","2162","Add device access token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testAddDeviceAccessToken_Positive"
"","3","Parse invalid device token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGetDeviceTokenBLMWithInvalidToken_Negative"
"","84","Convert DTO to BLM - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Converter Tests","com.connection.device.token.converter.DeviceAccessTokenConverterTest","testToBLMFromDTO_Positive"
"","2","Validate DeviceAccessTokenDALM with null device token UID - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenDALMWithNullDeviceTokenUid_Negative"
"","1880","Convert BLM to DALM - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Converter Tests","com.connection.device.token.converter.DeviceAccessTokenConverterTest","testToDALMFromBLM_Positive"
"","2","Validate valid DeviceAccessTokenDTO - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenDTO_Positive"
"","2","Validate null DeviceAccessTokenDTO - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateNullDeviceAccessTokenDTO_Negative"
"","3","Convert DTO to BLM - Positive","","2025-10-25","passed","2025-10-25","","Device Token Converter Tests","com.connection.device.token.converter.DeviceTokenConverterTest","testToBLMFromDTO_Positive"
"","9","Convert DTO to BLM with invalid token - Negative","","2025-10-25","passed","2025-10-25","","Device Token Converter Tests","com.connection.device.token.converter.DeviceTokenConverterTest","testToBLMFromDTOWithInvalidToken_Negative"
"","2","Validate valid DeviceAccessTokenBLM - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenBLM_Positive"
"","2","Validate DeviceTokenDALM with null UID - Negative","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenDALMWithNullUid_Negative"
"","2","Generate token with different dates - Positive","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGenerateDeviceTokenWithDifferentDates_Positive"
"","2","Validate valid DeviceAccessTokenDALM - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Validator Tests","com.connection.device.token.validator.DeviceAccessTokenValidatorTest","testValidateDeviceAccessTokenDALM_Positive"
"","1274","Compare device token and device access token structure","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testCompareTokenStructures"
"","6","Generate token with expired date - Negative","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGenerateDeviceAccessTokenWithExpiredDate_Positive"
"","1","Validate valid DeviceTokenBLM - Positive","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenBLM_Positive"
"","3","Parse valid device access token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGetDeviceAccessTokenBLM_Positive"
"","2","Generate multiple tokens for same device - Positive","","2025-10-25","passed","2025-10-25","","Device Token Generator Tests","com.connection.device.token.generator.DeviceTokenGeneratorTest","testGenerateMultipleTokensForSameDevice_Positive"
"","1","Validate valid DeviceTokenDTO - Positive","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenDTO_Positive"
"","3","Convert BLM to DTO - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Converter Tests","com.connection.device.token.converter.DeviceAccessTokenConverterTest","testToDTOFromBLM_Positive"
"","1","Validate valid DeviceTokenDALM - Positive","","2025-10-25","passed","2025-10-25","","Device Token Validator Tests","com.connection.device.token.validator.DeviceTokenValidatorTest","testValidateDeviceTokenDALM_Positive"
"","2","Generate device access token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Generator Tests","com.connection.device.token.generator.DeviceAccessTokenGeneratorTest","testGenerateDeviceAccessToken_Positive"
"","84","Convert DALM to BLM - Positive","","2025-10-25","passed","2025-10-25","","Device Token Converter Tests","com.connection.device.token.converter.DeviceTokenConverterTest","testToBLMFromDALM_Positive"
"","5","Find non-existent device token by UID - Negative","","2025-10-25","passed","2025-10-25","","Device Token Repository Tests","com.connection.device.token.repository.DeviceTokenRepositorySQLImplTest","testFindByUid_Negative"
"","5","Check has device access token - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testHasDeviceAccessToken_Positive"
"","6","Find device access token by UID - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testFindByUid_Positive"
"","6","Find device access token by device token UID - Positive","","2025-10-25","passed","2025-10-25","","Device Access Token Repository Tests","com.connection.device.token.repository.DeviceAccessTokenRepositorySQLImplTest","testFindByDeviceTokenUid_Positive"
