"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","MessageValidateException toString format","","2025-10-31","passed","2025-10-31","","Message Exception Tests","com.connection.message.exception.MessageExceptionTest","testMessageValidateExceptionToString"
"","20","Find messages by buffer UID - Positive","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testFindByBufferUid_Positive"
"","1","Exception inheritance hierarchy","","2025-10-31","passed","2025-10-31","","Message Exception Tests","com.connection.message.exception.MessageExceptionTest","testExceptionInheritance"
"","1","Validate null MessageBLM - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateNullMessageBLM_Negative"
"","2","Validate MessageDTO with future date - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithFutureDate_Negative"
"","5","Delete messages by buffer UID - Positive","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testDeleteByBufferUid_Positive"
"","2","Validate MessageDTO with null created at - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithNullCreatedAt_Negative"
"","1","Validate valid MessageDTO - Positive","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTO_Positive"
"","6","Delete message by UID - Positive","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testDeleteByUid_Positive"
"","2","Validate MessageDTO with long content type - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithLongContentType_Negative"
"","1841","Add message - Positive","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testAddMessage_Positive"
"","3","Find message by UID - Positive","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testFindByUid_Positive"
"","5","Convert DALM to BLM - Positive","","2025-10-31","passed","2025-10-31","","Message Converter Tests","com.connection.message.converter.MessageConverterTest","testToBLMFromDALM_Positive"
"","1","Validate valid MessageBLM - Positive","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageBLM_Positive"
"","1","Validate MessageDTO with null buffer UID - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithNullBufferUid_Negative"
"","2","Convert BLM to DTO - Positive","","2025-10-31","passed","2025-10-31","","Message Converter Tests","com.connection.message.converter.MessageConverterTest","testToDTOFromBLM_Positive"
"","1","Validate valid MessageDALM - Positive","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDALM_Positive"
"","2","MessageAddException toString format","","2025-10-31","passed","2025-10-31","","Message Exception Tests","com.connection.message.exception.MessageExceptionTest","testMessageAddExceptionToString"
"","1","Convert DTO to BLM - Positive","","2025-10-31","passed","2025-10-31","","Message Converter Tests","com.connection.message.converter.MessageConverterTest","testToBLMFromDTO_Positive"
"","1","Round-trip conversion DALM -> BLM -> DALM","","2025-10-31","passed","2025-10-31","","Message Converter Tests","com.connection.message.converter.MessageConverterTest","testRoundTripDALMToBLMToDALM"
"","1","Validate null MessageDTO - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateNullMessageDTO_Negative"
"","2","Validate MessageDTO with null fields - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithNullFields_Negative"
"","2","Round-trip conversion DTO -> BLM -> DTO","","2025-10-31","passed","2025-10-31","","Message Converter Tests","com.connection.message.converter.MessageConverterTest","testRoundTripDTOToBLMToDTO"
"","426","Validate MessageDTO with empty content - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithEmptyContent_Negative"
"","2","MessageNotFoundException toString format","","2025-10-31","passed","2025-10-31","","Message Exception Tests","com.connection.message.exception.MessageExceptionTest","testMessageNotFoundExceptionToString"
"","1","Validate MessageDTO with null content type - Negative","","2025-10-31","passed","2025-10-31","","Message Validator Tests","com.connection.message.validator.MessageValidatorTest","testValidateMessageDTOWithNullContentType_Negative"
"","4","Find no messages by buffer UID - Negative","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testFindByBufferUid_Negative"
"","6","Add message with exception - Negative","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testAddMessageWithException_Negative"
"","5","Find non-existent message by UID - Negative","","2025-10-31","passed","2025-10-31","","Message Repository Tests - SQL implementation tests","com.connection.message.repository.MessageRepositorySQLImplTest","testFindByUid_Negative"
