"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","RefreshTokenValidateException toString format","","2025-10-29","passed","2025-10-29","","Token Exception Tests","com.connection.token.exception.TokenExceptionTest","testRefreshTokenValidateExceptionToString"
"","1","Validate null AccessTokenBLM - Negative","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateNullAccessTokenBLM_Negative"
"","94","Parse invalid refresh token - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Generator Tests","com.connection.token.generator.RefreshTokenGeneratorTest","testGetRefreshTokenWithInvalidToken_Negative"
"","1","Validate valid RefreshTokenBLM - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenBLM_Positive"
"","5","Convert BLM to DTO - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Converter Tests","com.connection.token.converter.RefreshTokenConverterTest","testToDTOFromBLM_Positive"
"","1","BaseTokenException toString format","","2025-10-29","passed","2025-10-29","","Token Exception Tests","com.connection.token.exception.TokenExceptionTest","testBaseTokenExceptionToString"
"","72","Parse valid refresh token - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Generator Tests","com.connection.token.generator.RefreshTokenGeneratorTest","testGetRefreshToken_Positive"
"","2","Check token exists - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Repository Tests - SQL implementation tests","com.connection.token.repository.RefreshTokenRepositorySQLImplTest","testTokenExists_Negative"
"","1","Validate RefreshTokenDALM with future created date - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenDALMWithFutureCreatedAt_Negative"
"","1","Validate null RefreshTokenDALM - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateNullRefreshTokenDALM_Negative"
"","14","Convert DALM to BLM - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Converter Tests","com.connection.token.converter.RefreshTokenConverterTest","testToBLMFromDALM_Positive"
"","5","Convert DTO to BLM - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Converter Tests","com.connection.token.converter.RefreshTokenConverterTest","testToBLMFromDTO_Positive"
"","3","Add existing refresh token - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Repository Tests - SQL implementation tests","com.connection.token.repository.RefreshTokenRepositorySQLImplTest","testAddExistingRefreshToken_Negative"
"","2","Validate null RefreshTokenBLM - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateNullRefreshTokenBLM_Negative"
"","1","Validate valid AccessTokenDALM - Positive","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenDALM_Positive"
"","2223","Revoke non-existent refresh token - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Repository Tests - SQL implementation tests","com.connection.token.repository.RefreshTokenRepositorySQLImplTest","testRevokeNonExistentRefreshToken_Negative"
"","2","Validate null AccessTokenDALM - Negative","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateNullAccessTokenDALM_Negative"
"","1","Validate valid RefreshTokenDTO - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenDTO_Positive"
"","1","Validate RefreshTokenDTO with empty token - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenDTOWithEmptyToken_Negative"
"","1934","Convert BLM to DALM - Positive","","2025-10-29","passed","2025-10-29","","Refresh Token Converter Tests","com.connection.token.converter.RefreshTokenConverterTest","testToDALMFromBLM_Positive"
"","524","Validate RefreshTokenBLM with expired token - Negative","","2025-10-29","passed","2025-10-29","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateRefreshTokenBLMWithExpiredToken_Negative"
"","1","Validate valid AccessTokenBLM - Positive","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLM_Positive"
"","524","AccessTokenValidateException toString format","","2025-10-29","passed","2025-10-29","","Token Exception Tests","com.connection.token.exception.TokenExceptionTest","testAccessTokenValidateExceptionToString"
"","5","Convert DTO to BLM - Positive","","2025-10-29","passed","2025-10-29","","Access Token Converter Tests","com.connection.token.converter.AccessTokenConverterTest","testToBLMFromDTO_Positive"
"","1","RefreshTokenAlreadyExistsException toString format","","2025-10-29","passed","2025-10-29","","Token Exception Tests","com.connection.token.exception.TokenExceptionTest","testRefreshTokenAlreadyExistsExceptionToString"
"","1","Validate AccessTokenDALM with expired token - Negative","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenDALMWithExpiredToken_Negative"
"","524","Validate AccessTokenBLM with expired token - Negative","","2025-10-29","passed","2025-10-29","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLMWithExpiredToken_Negative"
"","173","Generate and parse round trip - Positive","","2025-10-29","passed","2025-10-29","","Access Token Generator Tests","com.connection.token.generator.AccessTokenGeneratorTest","testGenerateAndParseRoundTrip_Positive"
"","2","Generate token and verify time precision - Milliseconds ignored","","2025-10-29","passed","2025-10-29","","Access Token Generator Tests","com.connection.token.generator.AccessTokenGeneratorTest","testGenerateAccessToken_MillisecondsIgnored"
